MSG:1005,0,1,"MakeMKV v1.18.3 darwin(arm64-release) started","%1 started","MakeMKV v1.18.3 darwin(arm64-release)"
MSG:1009,0,1,"Profile parsing error: default profile missing, using builtin default","Profile parsing error: %1","default profile missing, using builtin default"
MSG:2010,0,1,"Optical drive \"BD-RE ASUS BW-16D1HT 3.10 KLAO3FE4810d\" opened in OS access mode.","Optical drive \"%1\" opened in OS access mode.","BD-RE ASUS BW-16D1HT 3.10 KLAO3FE4810d"
MSG:3307,0,2,"File 00608.m2ts was added as title #158","File %1 was added as title #%2","00608.m2ts","158"
MSG:3307,0,2,"File 00609.m2ts was added as title #159","File %1 was added as title #%2","00609.m2ts","159"
MSG:3307,0,2,"File 00610.m2ts was added as title #160","File %1 was added as title #%2","00610.m2ts","160"
MSG:3307,0,2,"File 00611.m2ts was added as title #161","File %1 was added as title #%2","00611.m2ts","161"
MSG:3307,0,2,"File 00612.m2ts was added as title #162","File %1 was added as title #%2","00612.m2ts","162"
MSG:3307,0,2,"File 00615.m2ts was added as title #163","File %1 was added as title #%2","00615.m2ts","163"
MSG:3307,0,2,"File 00605.m2ts was added as title #164","File %1 was added as title #%2","00605.m2ts","164"
MSG:3307,0,2,"File 00606.m2ts was added as title #165","File %1 was added as title #%2","00606.m2ts","165"
MSG:3307,0,2,"File 00613.m2ts was added as title #166","File %1 was added as title #%2","00613.m2ts","166"
MSG:3307,0,2,"File 00614.m2ts was added as title #167","File %1 was added as title #%2","00614.m2ts","167"
MSG:3307,0,2,"File 00662.m2ts was added as title #168","File %1 was added as title #%2","00662.m2ts","168"
MSG:3307,16777216,2,"File 00294.m2ts was added as title #169","File %1 was added as title #%2","00294.m2ts","169"
MSG:3307,0,2,"File 00295.m2ts was added as title #170","File %1 was added as title #%2","00295.m2ts","170"
MSG:3307,0,2,"File 00663.m2ts was added as title #171","File %1 was added as title #%2","00663.m2ts","171"
MSG:3307,0,2,"File 00664.m2ts was added as title #172","File %1 was added as title #%2","00664.m2ts","172"
MSG:3307,0,2,"File 00668.m2ts was added as title #173","File %1 was added as title #%2","00668.m2ts","173"
MSG:3307,0,2,"File 00669.m2ts was added as title #174","File %1 was added as title #%2","00669.m2ts","174"
MSG:3307,0,2,"File 00670.m2ts was added as title #175","File %1 was added as title #%2","00670.m2ts","175"
MSG:3307,16777216,2,"File 00671.m2ts was added as title #176","File %1 was added as title #%2","00671.m2ts","176"
MSG:3307,0,2,"File 00672.m2ts was added as title #177","File %1 was added as title #%2","00672.m2ts","177"
MSG:3307,0,2,"File 00673.m2ts was added as title #178","File %1 was added as title #%2","00673.m2ts","178"
MSG:3307,0,2,"File 00674.m2ts was added as title #179","File %1 was added as title #%2","00674.m2ts","179"
MSG:3307,0,2,"File 00675.m2ts was added as title #180","File %1 was added as title #%2","00675.m2ts","180"
MSG:3307,0,2,"File 00676.m2ts was added as title #181","File %1 was added as title #%2","00676.m2ts","181"
MSG:3307,0,2,"File 00677.m2ts was added as title #182","File %1 was added as title #%2","00677.m2ts","182"
MSG:3307,0,2,"File 00678.m2ts was added as title #183","File %1 was added as title #%2","00678.m2ts","183"
MSG:3307,0,2,"File 00679.m2ts was added as title #184","File %1 was added as title #%2","00679.m2ts","184"
MSG:3307,16777216,2,"File 00680.m2ts was added as title #185","File %1 was added as title #%2","00680.m2ts","185"
MSG:3307,0,2,"File 00681.m2ts was added as title #186","File %1 was added as title #%2","00681.m2ts","186"
MSG:3307,0,2,"File 00682.m2ts was added as title #187","File %1 was added as title #%2","00682.m2ts","187"
MSG:3307,0,2,"File 00683.m2ts was added as title #188","File %1 was added as title #%2","00683.m2ts","188"
MSG:3307,0,2,"File 00684.m2ts was added as title #189","File %1 was added as title #%2","00684.m2ts","189"
MSG:3307,0,2,"File 00685.m2ts was added as title #190","File %1 was added as title #%2","00685.m2ts","190"
MSG:3307,0,2,"File 00686.m2ts was added as title #191","File %1 was added as title #%2","00686.m2ts","191"
MSG:3307,0,2,"File 00687.m2ts was added as title #192","File %1 was added as title #%2","00687.m2ts","192"
MSG:3307,0,2,"File 00688.m2ts was added as title #193","File %1 was added as title #%2","00688.m2ts","193"
MSG:3307,0,2,"File 00689.m2ts was added as title #194","File %1 was added as title #%2","00689.m2ts","194"
MSG:3307,0,2,"File 00690.m2ts was added as title #195","File %1 was added as title #%2","00690.m2ts","195"
MSG:3307,0,2,"File 00691.m2ts was added as title #196","File %1 was added as title #%2","00691.m2ts","196"
MSG:3307,0,2,"File 00692.m2ts was added as title #197","File %1 was added as title #%2","00692.m2ts","197"
MSG:3307,0,2,"File 00693.m2ts was added as title #198","File %1 was added as title #%2","00693.m2ts","198"
MSG:3307,0,2,"File 00694.m2ts was added as title #199","File %1 was added as title #%2","00694.m2ts","199"
MSG:3307,0,2,"File 00695.m2ts was added as title #200","File %1 was added as title #%2","00695.m2ts","200"
MSG:3307,0,2,"File 00696.m2ts was added as title #201","File %1 was added as title #%2","00696.m2ts","201"
MSG:3307,0,2,"File 00697.m2ts was added as title #202","File %1 was added as title #%2","00697.m2ts","202"
MSG:3307,0,2,"File 00698.m2ts was added as title #203","File %1 was added as title #%2","00698.m2ts","203"
MSG:3307,0,2,"File 00699.m2ts was added as title #204","File %1 was added as title #%2","00699.m2ts","204"
MSG:3307,0,2,"File 00700.m2ts was added as title #205","File %1 was added as title #%2","00700.m2ts","205"
MSG:3307,0,2,"File 00701.m2ts was added as title #206","File %1 was added as title #%2","00701.m2ts","206"
MSG:3307,0,2,"File 00702.m2ts was added as title #207","File %1 was added as title #%2","00702.m2ts","207"
MSG:3307,0,2,"File 00703.m2ts was added as title #208","File %1 was added as title #%2","00703.m2ts","208"
MSG:3307,0,2,"File 00704.m2ts was added as title #209","File %1 was added as title #%2","00704.m2ts","209"
MSG:3307,0,2,"File 00705.m2ts was added as title #210","File %1 was added as title #%2","00705.m2ts","210"
MSG:3307,0,2,"File 00706.m2ts was added as title #211","File %1 was added as title #%2","00706.m2ts","211"
MSG:3307,0,2,"File 00707.m2ts was added as title #212","File %1 was added as title #%2","00707.m2ts","212"
MSG:3307,0,2,"File 00708.m2ts was added as title #213","File %1 was added as title #%2","00708.m2ts","213"
MSG:3307,0,2,"File 00709.m2ts was added as title #214","File %1 was added as title #%2","00709.m2ts","214"
MSG:3307,0,2,"File 00710.m2ts was added as title #215","File %1 was added as title #%2","00710.m2ts","215"
MSG:3307,16777216,2,"File 00711.m2ts was added as title #216","File %1 was added as title #%2","00711.m2ts","216"
MSG:3307,0,2,"File 00712.m2ts was added as title #217","File %1 was added as title #%2","00712.m2ts","217"
MSG:3307,0,2,"File 00713.m2ts was added as title #218","File %1 was added as title #%2","00713.m2ts","218"
MSG:3307,0,2,"File 00714.m2ts was added as title #219","File %1 was added as title #%2","00714.m2ts","219"
MSG:3307,0,2,"File 00715.m2ts was added as title #220","File %1 was added as title #%2","00715.m2ts","220"
MSG:3307,0,2,"File 00716.m2ts was added as title #221","File %1 was added as title #%2","00716.m2ts","221"
MSG:3307,0,2,"File 00717.m2ts was added as title #222","File %1 was added as title #%2","00717.m2ts","222"
MSG:3307,0,2,"File 00718.m2ts was added as title #223","File %1 was added as title #%2","00718.m2ts","223"
MSG:3307,0,2,"File 00719.m2ts was added as title #224","File %1 was added as title #%2","00719.m2ts","224"
MSG:3307,16777216,2,"File 00720.m2ts was added as title #225","File %1 was added as title #%2","00720.m2ts","225"
MSG:3307,0,2,"File 00721.m2ts was added as title #226","File %1 was added as title #%2","00721.m2ts","226"
MSG:5011,0,0,"Operation successfully completed","Operation successfully completed"
TCOUNT:227
CINFO:1,6209,"Blu-ray disc"
CINFO:2,0,"Avatar: Fire and Ash"
CINFO:28,0,"eng"
CINFO:29,0,"English"
CINFO:30,0,"Avatar: Fire and Ash"
CINFO:31,6119,"<b>Source information</b><br>"
CINFO:32,0,"AVATAR_FIRE_AND_ASH"
CINFO:33,0,"0"
TINFO:0,2,0,"Avatar: Fire and Ash"
TINFO:0,8,0,"2"
TINFO:0,9,0,"0:00:10"
TINFO:0,10,0,"4.7 MB"
TINFO:0,11,0,"4976640"
TINFO:0,16,0,"01316.mpls"
TINFO:0,25,0,"2"
TINFO:0,26,0,"178,438"
TINFO:0,27,0,"Avatar- Fire and Ash_t00.mkv"
TINFO:0,28,0,"eng"
TINFO:0,29,0,"English"
TINFO:0,30,0,"Avatar: Fire and Ash - 2 chapter(s) , 4.7 MB"
TINFO:0,31,6120,"<b>Title information</b><br>"
TINFO:0,33,0,"0"
SINFO:0,0,1,6201,"Video"
SINFO:0,0,5,0,"V_MPEGH/ISO/HEVC"
SINFO:0,0,6,0,"MpegH"
SINFO:0,0,7,0,"MpegH HEVC Main10@L5.1 (dvhe.07.06 BL+FEL+RPU)"
SINFO:0,0,19,0,"3840x2160"
SINFO:0,0,20,0,"16:9"
SINFO:0,0,21,0,"23.976 (480000/20020)"
SINFO:0,0,22,0,"65536"
SINFO:0,0,28,0,"eng"
SINFO:0,0,29,0,"English"
SINFO:0,0,30,0,"MpegH HEVC Main10@L5.1 (dvhe.07.06 BL+FEL+RPU)"
SINFO:0,0,31,6121,"<b>Track information</b><br>"
SINFO:0,0,33,0,"0"
SINFO:0,0,38,0,""
SINFO:0,0,42,5088,"( Lossless conversion )"
SINFO:0,1,1,6202,"Audio"
SINFO:0,1,2,5091,"Stereo"
SINFO:0,1,3,0,"eng"
SINFO:0,1,4,0,"English"
SINFO:0,1,5,0,"A_PCM/INT/LIT"
SINFO:0,1,6,0,"LPCM"
SINFO:0,1,7,0,"Linear PCM"
SINFO:0,1,13,0,"24 Kb/s"
SINFO:0,1,14,0,"2"
SINFO:0,1,17,0,"48000"
SINFO:0,1,18,0,"16"
SINFO:0,1,22,0,"0"
SINFO:0,1,28,0,"eng"
SINFO:0,1,29,0,"English"
SINFO:0,1,30,0,"LPCM Stereo English"
SINFO:0,1,31,6121,"<b>Track information</b><br>"
SINFO:0,1,33,0,"0"
SINFO:0,1,38,0,"d"
SINFO:0,1,39,0,"Default"
SINFO:0,1,40,0,"stereo"
SINFO:0,1,42,5088,"( Lossless conversion )"
SINFO:0,2,1,6202,"Audio"
SINFO:0,2,2,5091,"Stereo"
SINFO:0,2,3,0,"eng"
SINFO:0,2,4,0,"English"
SINFO:0,2,5,0,"A_PCM/INT/LIT"
